hex50_id,area,year,week_bin,num_observations_flowering,uniqueFloweringSpecies,num_observations_total,uniqueObsSpecies,obsFlowerRatioCheck,log_area,resid,fitted,superBloomCandidate
439,2071848464.75009,2013,17,4,1,14,5,TRUE,21.4517070243787,3.16368859877878,0.83624131480105,TRUE
470,1925117965.48115,2017,10,1,1,1,1,TRUE,21.3782530840974,3.41253431684728,0.0726171145749773,TRUE
470,1925117965.48115,2022,20,3,1,11,9,TRUE,21.3782530840974,3.48388748462375,0.47343399407727,TRUE
470,1925117965.48115,2016,20,1,1,2,2,TRUE,21.3782530840974,2.35704508395893,0.131659722595647,TRUE
531,2090435615.18829,2019,19,1,1,1,1,TRUE,21.4606383100031,2.1574585815617,0.149966215370245,TRUE
556,500136987.937798,2020,7,10,5,81,61,TRUE,20.030392596737,2.03707678285284,4.16090331778113,TRUE
556,500136987.937798,2017,1,2,2,11,10,TRUE,20.030392596737,2.04985156569143,0.488150103774811,TRUE
556,500136987.937798,2019,16,17,2,71,46,TRUE,20.030392596737,2.92445645887783,5.95537905441525,TRUE
556,500136987.937798,2023,1,38,6,530,142,TRUE,20.030392596737,4.22940199231334,11.1533859114396,TRUE
556,500136987.937798,2023,2,20,5,286,128,TRUE,20.030392596737,2.87903843747831,7.25668893600907,TRUE
556,500136987.937798,2021,16,18,2,112,65,TRUE,20.030392596737,2.731413840142,6.68607745457921,TRUE
556,500136987.937798,2017,20,2,1,4,2,TRUE,20.030392596737,2.22935770708747,0.442347811848219,TRUE
556,500136987.937798,2023,7,36,6,425,146,TRUE,20.030392596737,2.63710528783545,14.694426929613,TRUE
557,282036522.289923,2020,5,3,2,30,27,TRUE,19.4575471357285,2.08667294409165,0.867763256847956,TRUE
557,282036522.289923,2020,1,4,2,39,33,TRUE,19.4575471357285,3.21782063016286,0.819564174490709,TRUE
586,919344659.330776,2015,8,2,1,3,2,TRUE,20.6391716484554,2.15069953543665,0.461678059391787,TRUE
586,919344659.330776,2023,2,21,11,104,56,TRUE,20.6391716484554,5.852291789974,4.17687003101208,TRUE
587,1711709816.47291,2023,4,41,4,664,193,TRUE,21.2607586011597,2.91613627225894,15.828008508327,TRUE
587,1711709816.47291,2022,1,6,4,61,40,TRUE,21.2607586011597,2.36108688382127,1.98016526488262,TRUE
587,1711709816.47291,2023,1,35,7,597,170,TRUE,21.2607586011597,3.25415220881908,12.383396700559,TRUE
587,1711709816.47291,2023,2,21,3,360,115,TRUE,21.2607586011597,2.36877153297727,8.75634582235356,TRUE
587,1711709816.47291,2023,3,35,5,369,127,TRUE,21.2607586011597,4.63857745002111,9.44636785248786,TRUE
588,1624438128.39401,2022,21,3,1,48,31,TRUE,21.2084278264103,2.29824004454911,0.784786997115366,TRUE
588,1624438128.39401,2015,19,1,1,3,3,TRUE,21.2084278264103,2.4915358281183,0.121025697908968,TRUE
588,1624438128.39401,2017,11,3,1,33,28,TRUE,21.2084278264103,2.8154581349069,0.622404140161575,TRUE
588,1624438128.39401,2017,9,2,1,18,16,TRUE,21.2084278264103,2.70551347873542,0.345813894949852,TRUE
588,1624438128.39401,2023,16,11,4,212,97,TRUE,21.2084278264103,3.02139499191579,3.45145281098589,TRUE
588,1624438128.39401,2021,18,11,1,435,139,TRUE,21.2084278264103,2.06556220180533,4.60711259083558,TRUE
615,1701911472.49833,2022,5,28,16,38,23,TRUE,21.2550178525241,3.10222945438851,10.0257265609462,TRUE
615,1701911472.49833,2023,2,16,15,22,18,TRUE,21.2550178525241,2.60958283189052,6.03730738489997,TRUE
617,2156946158.44741,2013,8,9,3,37,23,TRUE,21.4919592431923,4.52298193910455,1.79022426511802,TRUE
617,2156946158.44741,2023,2,12,3,280,87,TRUE,21.4919592431923,2.01171884609781,5.18409513414701,TRUE
617,2156946158.44741,2023,3,9,2,131,68,TRUE,21.4919592431923,2.5433864875387,3.10705369700556,TRUE
617,2156946158.44741,2023,4,16,3,270,92,TRUE,21.4919592431923,2.78141727525321,5.76354982100535,TRUE
617,2156946158.44741,2023,6,20,3,337,85,TRUE,21.4919592431923,2.42762019710786,8.16341596263975,TRUE
617,2156946158.44741,2023,1,7,3,75,53,TRUE,21.4919592431923,3.12857128332155,1.86986064651285,TRUE
644,2128001501.99424,2023,6,171,57,394,101,TRUE,21.4784491147198,2.01626316553714,85.5042825849498,TRUE
646,2165063509.4611,2023,3,20,16,34,27,TRUE,21.4957155330566,2.44644670929029,8.12188823248092,TRUE
646,2165063509.4611,2023,2,44,27,77,39,TRUE,21.4957155330566,3.81968987008464,14.1517734954674,TRUE
647,2165063509.4611,2021,10,1,1,1,1,TRUE,21.4957155330566,2.12625591125862,0.153139425449655,TRUE
648,2165063509.4611,2023,22,6,1,96,50,TRUE,21.4957155330566,2.08808330191292,2.1942077233421,TRUE
648,2165063509.4611,2016,2,1,1,3,3,TRUE,21.4957155330566,3.05089672501446,0.0876316565577628,TRUE
648,2165063509.4611,2014,7,5,2,60,28,TRUE,21.4957155330566,2.71381539504494,1.36220795678712,TRUE
648,2165063509.4611,2016,18,4,1,31,24,TRUE,21.4957155330566,2.55939479865217,1.05847205471067,TRUE
651,2165063509.4611,2016,19,5,3,7,5,TRUE,21.4957155330566,2.27076190009648,1.61376422960295,TRUE
651,2165063509.4611,2018,22,8,7,10,9,TRUE,21.4957155330566,4.0684308875782,1.70817836621384,TRUE
672,717273565.624055,2021,3,30,15,52,24,TRUE,20.3909678692034,2.19066745231272,13.5380436372268,TRUE
673,1362376875.86404,2019,1,17,16,19,18,TRUE,21.0324967148141,2.29007541977284,7.07288695682379,TRUE
